IDNAME,RA,Dec,z,LookbackTime,SFR,F250,NAME_IAU,Feature
G15.DR1.4819,221.022934,0.214946002,1.60236084,9.58659554,1672.14563,0.04698,HATLAS J144405.5+001253,-
G15.DR1.482,216.930786,0.816459,0.234550923,2.76519799,73.6940765,0.103396,HATLAS J142743.3+004859,-
G15.DR1.4820,219.915787,0.424057007,0.997435391,7.73654413,696.248291,0.056719,HATLAS J143939.7+002526,-
G15.DR1.4821,216.718475,1.09788799,0.143619999,1.79535234,13.3715639,0.04837,HATLAS J142652.4+010552,-
G15.DR1.4822,221.923141,0.365797013,0.403369993,4.28887033,128.552155,0.063975,HATLAS J144741.5+002156,-
G15.DR1.4823,218.241974,-0.743399978,0.0886799991,1.14977777,5.31685638,0.04886,HATLAS J143258.0-004436,-
G15.DR1.48233,217.258804,-0.282265991,3.75106215,12.0078735,9062.93066,0.022373,HATLAS J142902.1-001656,-
G15.DR1.4825,214.37384,-0.567601025,0.824038923,6.95918274,392.872986,0.047752,HATLAS J141729.7-003403,-
G15.DR1.4826,219.388763,1.22847104,0.402702004,4.28346777,118.91555,0.059413,HATLAS J143733.3+011342,-
G15.DR1.4828,214.126709,0.669848025,1.47699022,9.28548622,1369.80054,0.046606,HATLAS J141630.4+004011,-
G15.DR1.48281,219.827194,0.112015001,3.00366974,11.5139055,4899.42676,0.025821,HATLAS J143918.5+000643,-
G15.DR1.4829,212.626007,1.41245103,0.386900008,4.154181,113.961037,0.06145,HATLAS J141030.2+012444,-
G15.DR1.48304,221.861801,0.650465012,2.54020238,11.0755892,3025.55249,0.0261,HATLAS J144726.8+003901,-
G15.DR1.4831,217.146286,-0.0643069968,0.276549995,3.17559576,46.2389336,0.04749,HATLAS J142835.1-000351,-
G15.DR1.4835,220.294342,0.832168996,0.736963987,6.50885582,296.884277,0.045407,HATLAS J144110.6+004955,-
G15.DR1.4836,216.812531,-0.400451988,0.481739014,4.89334631,182.31694,0.06445,HATLAS J142715.0-002401,-
G15.DR1.4837,221.486725,0.543281972,1.14570093,8.29656124,974.53595,0.058942,HATLAS J144556.8+003235,-
G15.DR1.4840,213.953018,0.302574992,0.691594362,6.25591278,270.106293,0.046905,HATLAS J141548.7+001809,-
G15.DR1.48402,218.118958,-0.904371977,1.81598115,10.0292416,1206.00098,0.025027,HATLAS J143228.5-005415,-
G15.DR1.4842,218.053299,-0.865683019,0.457019001,4.70894861,130.068115,0.051006,HATLAS J143212.7-005156,-
G15.DR1.4843,215.251373,0.484750986,0.547150016,5.35525322,232.276932,0.064068,HATLAS J142100.3+002905,-
G15.DR1.4844,216.268692,0.374754012,0.134039998,1.68618834,14.4197416,0.059679,HATLAS J142504.4+002229,-
